; all_hk.csv
; Version 1.0 - 29 March 2006 - Created for version 4.0 s/w onwards
; version 2.0 - 12 July 2006 - Ver 4.5 software, modified bytes 190 and 191, added bytes 218 to 233.
; version 3.0 - 28 April 2008 - corrected last time adjustment parameters
; version 4.0 - 16 July 2008 - C1XS telemetry data
; version 5.0 - 22 July 2008 - fixed errors found by Santa
;
; Parameter name, byte offset, number of bytes for parameter, note 1, min limit, max limit, Units, instrument mode to which limits apply,C,M,N,P,R
;
; note 1 - U=unsigned number, S=signed number, T=temperature, C= convert to text (See below)
; C = y offset for x=0 (constant)
; M = x multiplier (gradient)
; N = x2 multiplier
; P = x3 multiplier
; R = x4 multiplier
; Convert to text
; each value to be converted to text requires a line starting '&' as shown below
; &name,byte offset, bit mask, state0, state1, state2,.....
;
;
; mode 0 limits (default)
;  name, offset, bytes, type, min, max, units, mode, C,M,N,P,R
; 
TC Error flags,14,1,U,0,0, ,0,0,1,0,0,0
Software_version,15,1,U,0,6, ,0,0,0.1,0,0,0
VALID TC COUNTER,16,1,U,0,255, ,0,0,1,0,0,0
REJECTED TC COUNTER,17,1,U,0,20, ,0,0,1,0,0,0
REJECTED TC ERROR CODE,18,1,U,0,255, ,0,0,1,0,0,0
Software flags (low byte),19,1,C,0,255, ,0,0,1,0,0,0
&XSM processing,19,128,DISABLED,ENABLED
&C1XS processing,19,64,DISABLED,1,ENABLED
&Door radiation status,19,32,OPEN,SHUT
&Door radiation movement,19,16,-,CLOSING
&XSM shutter status,19,8,OPEN,CLOSED
&XSM entering annealing,19,4,FALSE,TRUE
&XSM on for >1s,19,2,FALSE,TRUE
&XSM switched on,19,1,FALSE,TRUE
RECEIVED CRC OF BAD TC,20,2,U,0,65535, ,0,0,1,0,0,0
CALCULTED CRC OF BAD TC,22,2,U,0,65535, ,0,0,1,0,0,0
DOOR STATE,24,1,C,0,255, ,0,0,1,0,0,0
&door_sw_state,24,15,Open,Closing,Opening,Closed,Switch_fail
&door_e2_state,24,240,Open,Closing,Opening,Closed
;Mode,25,1,U,0,0, ,0,0,1,0,0,0
Mode,25,1,C,0,6, ,0,0,1,0,0,0
